start_time,close,SMA_short,SMA_long,signal,position,daily_return,strategy_return,cum_asset_return,cum_strategy_return,trade_entry,pnl_usd
2025-06-01 00:00:00+00:00,3283.86,,,0,0.0,,,,,0,
2025-06-01 00:00:00+00:00,3283.3,,,0,0.0,-0.0001705310214199507,-0.0,-0.0001705310214199507,0.0,0,-0.0
2025-06-01 00:15:00+00:00,3283.3,,,0,0.0,0.0,0.0,-0.0001705310214199507,0.0,0,0.0
2025-06-01 00:30:00+00:00,3284.0,,,0,0.0,0.00021320013401138205,0.0,4.263275535487665e-05,0.0,0,0.0
2025-06-01 00:30:00+00:00,3284.1,3283.7120000000004,,0,0.0,3.0450669914694473e-05,0.0,7.308472346556627e-05,0.0,0,0.0
2025-06-01 00:45:00+00:00,3284.1,3283.7599999999998,,0,0.0,0.0,0.0,7.308472346556627e-05,0.0,0,0.0
2025-06-01 01:00:00+00:00,3284.51,3284.0020000000004,,0,0.0,0.0001248439450687311,0.0,0.00019793779271948253,0.0,0,0.0
2025-06-01 01:00:00+00:00,3284.6,3284.2619999999997,,0,0.0,2.740134753720369e-05,0.0,0.00022534456401901437,0.0,0,0.0
2025-06-01 01:15:00+00:00,3284.51,3284.364,,0,0.0,-2.7400596724014292e-05,-0.0,0.00019793779271948253,0.0,0,-0.0
2025-06-01 01:30:00+00:00,3287.29,3285.0020000000004,,0,0.0,0.0008463971794878677,0.0,0.0010445025061969204,0.0,0,0.0
2025-06-01 01:30:00+00:00,3283.87,3284.9559999999997,,0,0.0,-0.0010403706396454604,-0.0,3.0451968109357352e-06,0.0,0,-0.0
2025-06-01 01:45:00+00:00,3287.29,3285.512,,0,0.0,0.0010414541379530906,0.0,0.0010445025061969204,0.0,0,0.0
2025-06-01 02:00:00+00:00,3287.3,3286.0520000000006,,0,0.0,3.0420194141456136e-06,0.0,0.0010475477030080782,0.0,0,0.0
2025-06-01 02:00:00+00:00,3287.82,3286.714,,0,0.0,0.00015818452833626928,0.0,0.0012058979371836198,0.0,0,0.0
2025-06-01 02:15:00+00:00,3287.82,3286.8199999999997,,0,0.0,0.0,0.0,0.0012058979371836198,0.0,0,0.0
2025-06-01 02:30:00+00:00,3286.93,3287.432,,0,0.0,-0.00027069608433560877,-0.0,0.000934875420998349,0.0,0,-0.0
2025-06-01 02:30:00+00:00,3285.89,3287.1519999999996,,0,0.0,-0.0003164046694027478,-0.0,0.0006181749526470437,0.0,0,-0.0
2025-06-01 02:45:00+00:00,3285.89,3286.87,,0,0.0,0.0,0.0,0.0006181749526470437,0.0,0,0.0
2025-06-01 03:00:00+00:00,3286.79,3286.6639999999998,,0,0.0,0.00027389839586833276,0.0,0.0008922426656432503,0.0,0,0.0
2025-06-01 03:00:00+00:00,3286.41,3286.382,3285.4790000000003,1,0.0,-0.00011561432278917039,-0.0,0.0007765251868225853,0.0,0,-0.0
2025-06-01 03:15:00+00:00,3286.79,3286.3540000000003,3285.6254999999996,1,1.0,0.00011562769100637027,0.00011562769100637027,0.0008922426656432503,0.00011562769100637027,1,0.011562769100637027
2025-06-01 03:30:00+00:00,3288.2,3286.8160000000003,3285.8705,1,1.0,0.0004289899871912084,0.0004289899871912084,0.0013216154160040627,0.0005446672813191888,0,0.04289899871912084
2025-06-01 03:30:00+00:00,3288.4,3287.318,3286.1254999999996,1,1.0,6.082355087899671e-05,6.082355087899671e-05,0.001382519352225664,0.0006055239607962726,0,0.006082355087899671
2025-06-01 03:45:00+00:00,3288.4,3287.6400000000003,3286.3455000000004,1,1.0,0.0,0.0,0.001382519352225664,0.0006055239607962726,0,0.0
2025-06-01 04:00:00+00:00,3289.0,3288.1580000000004,3286.5905,1,1.0,0.00018245955479856413,0.00018245955479856413,0.0015652311608898017,0.0007880939992270797,0,0.018245955479856413
2025-06-01 04:00:00+00:00,3288.7,3288.54,3286.8205000000003,1,1.0,-9.121313469140357e-05,-9.121313469140357e-05,0.0014738752565577329,0.0006968089800116761,0,-0.009121313469140357
2025-06-01 04:15:00+00:00,3289.0,3288.7,3287.0450000000005,1,1.0,9.122145528639436e-05,9.122145528639436e-05,0.0015652311608900238,0.0007880939992273017,0,0.009122145528639436
2025-06-01 04:30:00+00:00,3290.39,3289.0979999999995,3287.3345,1,1.0,0.0004226208574034107,0.0004226208574034107,0.0019885135176287427,0.001211047921592323,0,0.04226208574034107
2025-06-01 04:30:00+00:00,3290.39,3289.496,3287.6285000000003,1,1.0,0.0,0.0,0.0019885135176287427,0.001211047921592323,0,0.0
2025-06-01 04:45:00+00:00,3290.39,3289.774,3287.7835,1,1.0,0.0,0.0,0.0019885135176287427,0.001211047921592323,0,0.0
2025-06-01 05:00:00+00:00,3289.81,3289.996,3288.0805,1,1.0,-0.0001762708979786698,-0.0001762708979786698,0.0018118921025866985,0.0010345635511090912,0,-0.01762708979786698
2025-06-01 05:00:00+00:00,3289.81,3290.1580000000004,3288.2064999999993,1,1.0,0.0,0.0,0.0018118921025866985,0.0010345635511090912,0,0.0
2025-06-01 05:15:00+00:00,3289.81,3290.042,3288.332,1,1.0,0.0,0.0,0.0018118921025866985,0.0010345635511090912,0,0.0
2025-06-01 05:30:00+00:00,3289.81,3289.9259999999995,3288.4315,1,1.0,0.0,0.0,0.0018118921025866985,0.0010345635511090912,0,0.0
2025-06-01 05:30:00+00:00,3289.02,3289.6519999999996,3288.4915,1,1.0,-0.00024013544855172597,-0.00024013544855172597,0.0015713215545121173,0.0007941796671748769,0,-0.024013544855172597
2025-06-01 05:45:00+00:00,3289.02,3289.494,3288.596,1,1.0,0.0,0.0,0.0015713215545121173,0.0007941796671748769,0,0.0
2025-06-01 06:00:00+00:00,3288.83,3289.298,3288.743,1,1.0,-5.7767967358124395e-05,-5.7767967358124395e-05,0.0015134628151016738,0.0007363658216716917,0,-0.0057767967358124395
2025-06-01 06:00:00+00:00,3288.82,3289.1,3288.8895,1,1.0,-3.0405949835721202e-06,-3.0405949835721202e-06,0.001510417618290738,0.0007333229876977931,0,-0.000304059498357212
2025-06-01 06:15:00+00:00,3288.82,3288.9020000000005,3288.9910000000004,0,1.0,0.0,0.0,0.001510417618290738,0.0007333229876977931,0,0.0
2025-06-01 06:30:00+00:00,3288.82,3288.862,3289.1115,0,0.0,0.0,0.0,0.001510417618290738,0.0007333229876977931,0,0.0
2025-06-01 06:30:00+00:00,3288.65,3288.7879999999996,3289.2045,0,0.0,-5.1690271890891815e-05,-0.0,0.001458649272502388,0.0007333229876977931,0,-0.0
2025-06-01 06:45:00+00:00,3288.82,3288.786,3289.2355000000002,0,0.0,5.1692943913161926e-05,0.0,0.001510417618290516,0.0007333229876977931,0,0.0
2025-06-01 07:00:00+00:00,3289.06,3288.834,3289.2684999999997,0,0.0,7.297450149290619e-05,0.0,0.0015835023417560823,0.0007333229876977931,0,0.0
2025-06-01 07:00:00+00:00,3289.06,3288.882,3289.3015,0,0.0,0.0,0.0,0.0015835023417560823,0.0007333229876977931,0,0.0
2025-06-01 07:15:00+00:00,3289.06,3288.9300000000003,3289.3044999999997,0,0.0,0.0,0.0,0.0015835023417560823,0.0007333229876977931,0,0.0
