start_time,open,high,low,close,volume,turnover
2025-06-01 00:00:00+00:00,3283.86,3283.88,3283.85,3283.86,3.987,13092.7418
2025-06-01 00:15:00+00:00,3283.86,3283.86,3282.95,3283.3,4.293,14095.90438
2025-06-01 00:30:00+00:00,3283.3,3284.0,3283.29,3284.0,5.351,17569.77512
2025-06-01 00:45:00+00:00,3284.0,3284.1,3283.99,3284.1,2.244,7369.31865
2025-06-01 01:00:00+00:00,3284.1,3287.66,3284.09,3284.6,10.977,36064.90236
2025-06-01 01:15:00+00:00,3284.6,3284.6,3284.34,3284.51,1.824,5991.01811
2025-06-01 01:30:00+00:00,3284.51,3284.6,3282.31,3283.87,9.554,31372.20013
2025-06-01 01:45:00+00:00,3283.87,3287.96,3283.87,3287.29,10.184,33458.5887
2025-06-01 02:00:00+00:00,3287.29,3287.56,3287.28,3287.3,5.379,17682.60493
2025-06-01 02:15:00+00:00,3287.3,3287.83,3286.63,3287.82,8.424,27690.21476
2025-06-01 02:30:00+00:00,3287.82,3287.84,3286.52,3286.93,4.273,14047.34336
2025-06-01 02:45:00+00:00,3286.93,3286.93,3285.88,3285.89,0.423,1390.12355
2025-06-01 03:00:00+00:00,3285.89,3286.8,3285.89,3286.41,4.351,14299.42504
2025-06-01 03:15:00+00:00,3286.41,3286.8,3286.34,3286.79,2.101,6905.10107
2025-06-01 03:30:00+00:00,3286.79,3289.38,3286.79,3288.2,6.114,20102.02658
2025-06-01 03:45:00+00:00,3288.2,3288.4,3288.19,3288.4,1.471,4836.93773
2025-06-01 04:00:00+00:00,3288.4,3288.7,3288.4,3288.7,1.294,4255.56462
2025-06-01 04:15:00+00:00,3288.7,3289.0,3288.7,3289.0,1.36,4472.927
2025-06-01 04:30:00+00:00,3289.0,3290.39,3289.0,3290.39,7.085,23307.92708
2025-06-01 04:45:00+00:00,3290.39,3290.39,3290.38,3290.39,0.637,2095.97299
2025-06-01 05:00:00+00:00,3290.39,3290.39,3289.8,3289.81,6.991,23001.99273
2025-06-01 05:15:00+00:00,3289.81,3289.81,3289.8,3289.81,1.158,3809.59275
2025-06-01 05:30:00+00:00,3289.81,3289.81,3289.8,3289.81,0.785,2582.49641
2025-06-01 05:45:00+00:00,3289.81,3289.81,3289.01,3289.02,0.894,2940.99551
2025-06-01 06:00:00+00:00,3289.02,3289.02,3288.81,3288.83,0.794,2611.37783
2025-06-01 06:15:00+00:00,3288.83,3288.83,3288.7,3288.82,2.836,9326.96463
2025-06-01 06:30:00+00:00,3288.82,3288.83,3288.65,3288.65,1.97,6478.92084
2025-06-01 06:45:00+00:00,3288.65,3288.83,3288.65,3288.82,1.253,4120.70065
2025-06-01 07:00:00+00:00,3288.82,3289.25,3288.82,3289.06,2.626,8636.67328
2025-06-01 07:15:00+00:00,3289.06,3289.06,3289.05,3289.06,0.448,1473.49696
2025-06-01 07:30:00+00:00,3289.06,3289.06,3289.05,3289.05,0.845,2779.2494
2025-06-01 07:45:00+00:00,3289.05,3289.06,3289.05,3289.06,3.943,12968.75701
2025-06-01 08:00:00+00:00,3289.06,3290.17,3289.05,3290.0,3.764,12382.3645
2025-06-01 08:15:00+00:00,3290.0,3290.01,3290.0,3290.01,0.556,1829.24176
2025-06-01 08:30:00+00:00,3290.01,3290.02,3290.0,3290.01,0.874,2875.46855
2025-06-01 08:45:00+00:00,3290.01,3290.25,3290.0,3290.02,2.477,8149.41538
2025-06-01 09:00:00+00:00,3290.02,3291.33,3290.02,3291.06,17.651,58084.18761
2025-06-01 09:15:00+00:00,3291.06,3292.7,3291.05,3291.41,19.635,64630.57629
2025-06-01 09:30:00+00:00,3291.41,3291.43,3288.04,3288.09,14.568,47929.7345
2025-06-01 09:45:00+00:00,3288.09,3290.9,3288.04,3290.0,12.583,41392.14448
2025-06-01 10:00:00+00:00,3290.0,3290.99,3289.99,3290.6,4.501,14810.72234
2025-06-01 10:15:00+00:00,3290.6,3290.6,3289.61,3289.61,2.517,8281.3995
2025-06-01 10:30:00+00:00,3289.61,3289.91,3289.3,3289.9,6.92,22762.96447
2025-06-01 10:45:00+00:00,3289.9,3290.3,3289.9,3290.27,2.676,8804.65756
2025-06-01 11:00:00+00:00,3290.27,3293.2,3289.74,3292.44,15.69,51647.15944
2025-06-01 11:15:00+00:00,3292.44,3292.57,3292.07,3292.14,5.104,16803.93065
2025-06-01 11:30:00+00:00,3292.14,3292.14,3290.27,3291.62,9.877,32513.48161
2025-06-01 11:45:00+00:00,3291.62,3293.98,3291.6,3292.07,9.371,30856.60258
2025-06-01 12:00:00+00:00,3292.07,3292.18,3292.07,3292.18,1.039,3420.57302
2025-06-01 12:15:00+00:00,3292.18,3293.26,3292.18,3292.7,9.164,30176.62678
2025-06-01 12:30:00+00:00,3292.7,3292.71,3291.02,3291.02,14.21,46780.67987
2025-06-01 12:45:00+00:00,3291.02,3291.29,3289.51,3291.08,11.579,38104.86456
2025-06-01 13:00:00+00:00,3291.08,3292.9,3290.53,3292.38,10.231,33674.0145
2025-06-01 13:15:00+00:00,3292.38,3292.83,3290.6,3292.19,18.966,62435.72458
2025-06-01 13:30:00+00:00,3292.19,3292.8,3291.22,3292.63,14.058,46279.35088
2025-06-01 13:45:00+00:00,3292.63,3293.05,3292.63,3293.05,9.488,31243.06616
2025-06-01 14:00:00+00:00,3293.05,3293.06,3291.89,3292.36,16.544,54476.5546
2025-06-01 14:15:00+00:00,3292.36,3293.02,3291.81,3293.02,6.886,22672.68353
2025-06-01 14:30:00+00:00,3293.02,3293.37,3292.5,3293.24,12.638,41618.03539
2025-06-01 14:45:00+00:00,3293.24,3293.39,3293.24,3293.3,7.943,26158.98426
2025-06-01 15:00:00+00:00,3293.3,3294.0,3293.11,3293.42,16.969,55885.5783
2025-06-01 15:15:00+00:00,3293.42,3294.98,3293.41,3293.95,28.555,94065.99161
2025-06-01 15:30:00+00:00,3293.95,3294.27,3293.67,3293.68,8.983,29588.25594
2025-06-01 15:45:00+00:00,3293.68,3293.93,3293.66,3293.67,18.855,62102.34308
2025-06-01 16:00:00+00:00,3293.67,3294.83,3293.67,3294.73,18.064,59506.44165
2025-06-01 16:15:00+00:00,3294.73,3294.88,3293.42,3293.73,39.214,129168.95275
2025-06-01 16:30:00+00:00,3293.73,3293.85,3290.02,3292.24,22.504,74084.71117
2025-06-01 16:45:00+00:00,3292.24,3293.09,3292.24,3292.82,6.679,21993.07672
2025-06-01 17:00:00+00:00,3292.82,3293.79,3292.81,3293.68,6.119,20150.29786
2025-06-01 17:15:00+00:00,3293.68,3293.68,3293.2,3293.2,10.32,33988.0808
2025-06-01 17:30:00+00:00,3293.2,3293.21,3289.2,3290.88,22.747,74864.16189
2025-06-01 17:45:00+00:00,3290.88,3290.95,3290.4,3290.95,7.669,25237.31606
2025-06-01 18:00:00+00:00,3290.95,3292.2,3289.77,3291.58,14.794,48688.81835
2025-06-01 18:15:00+00:00,3291.58,3292.1,3291.42,3292.1,6.835,22498.46653
2025-06-01 18:30:00+00:00,3292.1,3294.51,3292.1,3294.51,15.323,50474.69347
2025-06-01 18:45:00+00:00,3294.51,3296.67,3293.74,3296.47,29.284,96505.93223
2025-06-01 19:00:00+00:00,3296.47,3297.0,3295.29,3295.54,8.24,27164.88361
2025-06-01 19:15:00+00:00,3295.54,3295.9,3295.33,3295.9,5.958,19636.06898
2025-06-01 19:30:00+00:00,3295.9,3296.3,3292.82,3293.31,9.783,32234.21152
2025-06-01 19:45:00+00:00,3293.31,3294.0,3292.31,3294.0,11.899,39184.77542
2025-06-01 20:00:00+00:00,3294.0,3294.6,3293.51,3294.1,7.572,24943.73745
2025-06-01 20:15:00+00:00,3294.1,3294.7,3294.09,3294.61,6.165,20309.13199
2025-06-01 20:30:00+00:00,3294.61,3295.9,3294.61,3295.9,8.105,26710.34396
